scenario_id,mc_run,error,mae_rt_sCFR,mciw_rt_sCFR,mcic_rt_sCFR,mae_rcf_sCFR,mciw_rcf_sCFR,mcic_rcf_sCFR,mae_rt_cCFR_cumulative,mciw_rt_cCFR_cumulative,mcic_rt_cCFR_cumulative,mae_rt_aCFR_cumulative,mciw_rt_aCFR_cumulative,mcic_rt_aCFR_cumulative,mae_rt_its,mciw_rt_its,mcic_rt_its,mae_rcf_its,mciw_rcf_its,mcic_rcf_its,bias_beta_abs_1_sCFR,width_beta_abs_1_sCFR,cover_beta_abs_1_sCFR,bias_lambda_1_sCFR,width_lambda_1_sCFR,cover_lambda_1_sCFR,bias_beta_abs_1_its,width_beta_abs_1_its,cover_beta_abs_1_its,bias_lambda_1_its,width_lambda_1_its,cover_lambda_1_its,bias_beta_abs_2_sCFR,width_beta_abs_2_sCFR,cover_beta_abs_2_sCFR,bias_lambda_2_sCFR,width_lambda_2_sCFR,cover_lambda_2_sCFR,bias_beta_abs_2_its,width_beta_abs_2_its,cover_beta_abs_2_its,bias_lambda_2_its,width_lambda_2_its,cover_lambda_2_its
S06,2,None,0.001251031644642353,0.009235646513407116,0.99,0.0016477667959406972,0.019029085479443885,0.995,0.009526624187644963,0.0007568654206007784,0.03,0.007777776358765762,0.002824221261083781,0.12,0.001282906587226565,0.0014370828556066312,0.39,0.0024800883481951082,0.0029530418244523866,0.34,-3.26806902885437,8.314414703333743,True,0.6582488536834716,3.1972904185764484,True,-4.883744167223583,0.2456091988163045,False,2.6704006028997322,0.00701030185438567,False,-1.6946406364440918,4.881981496547811,True,0.5166165351867675,2.8567112168762825,True,-3.0,0.08752041882090532,False,1.3476673626116968,0.0013551350265821327,False
S07,1,None,0.001430667587555945,0.006504149764543398,0.94,0.001430667587555945,0.006504149764543398,0.94,0.00996887845195244,0.0007351536948811896,0.0,0.0069099620197179586,0.002467902624093728,0.09,0.0014318951858296937,0.0014502964561352596,0.3,0.0014318951858296937,0.0014502964561352596,0.3,,,,,,,,,,,,,,,,,,,,,,,,
S07,2,None,0.0014862200478091836,0.009423271079431287,0.975,0.0014862200478091836,0.009423271079431287,0.975,0.01006722294795229,0.0007380714851138364,0.005,0.007293742596515083,0.0019369909543486647,0.085,0.0014224139661476124,0.0015951744665444734,0.38,0.0014224139661476124,0.0015951744665444734,0.38,,,,,,,,,,,,,,,,,,,,,,,,
S08,1,None,0.0013633962953463197,0.007488599239964968,0.96,0.0017684835474938154,0.011384037867945151,0.985,0.011286152359420662,0.000717228255930886,0.02,0.00849639081961849,0.0017589735238751237,0.045,0.0026863026774040554,0.002080084295640432,0.24,0.00942037782962848,0.007489300129180401,0.14,-3.450423240661621,7.7322531690024885,True,0.6273918271064758,3.4128897146787476,True,-3.857326066624961,0.47906704333703,False,1.5819491151685325,0.01156892648391028,False,,,,,,,,,,,,
S08,2,None,0.0016138434875756502,0.008390806295676156,0.935,0.0017548666801303625,0.014668205302325075,0.96,0.011817201338739402,0.0007347459443833845,0.02,0.009558916488223972,0.0015372275108380211,0.045,0.0032195506195951827,0.0022740937921973113,0.185,0.009077296910730271,0.007564254064370239,0.105,-2.600581169128418,12.522327353231594,True,0.7388600826263427,3.3274160047061723,True,-3.8963617845353475,0.5048542399812068,False,1.7173258683936898,0.009002369480082706,False,,,,,,,,,,,,
S09,1,None,0.001455672667361796,0.005779750378977041,0.86,0.00287398393265903,0.008176972885266875,0.865,0.011928604449518584,0.0007492226103596231,0.005,0.009401322055516576,0.0027722123872460404,0.125,0.0022025015834232346,0.0014951985565904548,0.22,0.0027788983351608033,0.0031730779369056415,0.29,-4.264484882354736,3.3289167199516667,False,0.7743659734725952,3.463863107189536,True,-4.664935910535897,0.18324415606061156,False,2.392035383081728,0.0019305023708215963,False,-2.1309353709220886,3.5498111153952774,True,0.5362498879432678,2.824309232085942,True,-3.0,0.010150012740273776,False,0.7404810359854908,0.00019943791475052208,False
S09,2,None,0.001531726447865367,0.0048458214555867005,0.815,0.001846928265877068,0.011889513993402942,0.905,0.011907057730229575,0.0007297749066213287,0.01,0.009287829455775465,0.0017342649019995325,0.06,0.001625641881767802,0.0017976357306273344,0.35,0.0030013036494243267,0.003900108198736678,0.32,-3.345384359359741,5.808086033165454,True,0.7629661083221435,3.0525655560661096,True,-4.935536232540454,0.2616640580741562,False,1.760877301589267,0.02775760529201987,False,-1.8176610469818115,5.553478260291734,True,0.7335408449172973,4.652406861353666,True,-3.0,0.28571722029917745,False,0.7252387613104776,0.025934251719573975,False
S10,1,None,0.0012722918763756752,0.009708788115764035,0.995,0.0012722918763756752,0.009708788115764035,0.995,0.010815886767868736,0.0005579015993988767,0.0,0.00896497422501626,0.001179369782687511,0.13,0.0013659751941791315,0.0014713227161664332,0.34,0.0013659751941791315,0.0014713227161664332,0.34,,,,,,,,,,,,,,,,,,,,,,,,
S10,2,None,0.0014553265646100044,0.012544310156779828,1.0,0.0014553265646100044,0.012544310156779828,1.0,0.01104071909363311,0.000569278831879623,0.005,0.009132999988661352,0.0013780520286530626,0.145,0.0016488381517508555,0.001610433870004742,0.345,0.0016488381517508555,0.001610433870004742,0.345,,,,,,,,,,,,,,,,,,,,,,,,
S11,1,None,0.0012781084515154362,0.012160930166137403,1.0,0.006175275892019272,0.04868671733915106,1.0,0.011345206199773812,0.00055361992045674,0.005,0.009514510459637979,0.001221053861265621,0.135,0.00155915982055778,0.0017570612256239283,0.365,0.0021757445793827725,0.0032056445511017147,0.34,2.207747459411621,45.98390357918103,True,0.7980273485183715,3.8614720704965273,True,-4.780870076774319,0.2651561185906654,False,1.5592804281486852,0.05640209532927254,False,,,,,,,,,,,,
S11,2,None,0.0022390747908502817,0.002209997558617033,0.325,0.05018037185072899,0.013828525082441045,0.16,0.011353223196407808,0.0005608093783682573,0.0,0.00952596907349363,0.0019033747786683503,0.155,0.0017985496313466175,0.0018215591493968742,0.365,0.003870599985143859,0.004183139635850705,0.355,10.646303176879883,6.7247109651565555,False,0.5271148204803466,0.3711251765489578,False,-4.486749962225188,0.31359489135243973,False,1.3965239055911456,0.11274732426491507,False,,,,,,,,,,,,
S12,1,None,0.0012547342339530587,0.015485500456939914,1.0,0.0026392624713480473,0.017912683603703038,0.995,0.010068153045122563,0.0005572601464425948,0.0,0.008246441255734826,0.0020043645521729565,0.14,0.0015906201112976847,0.0011144185591107404,0.195,0.0038058166763864825,0.0012825854338853093,0.08,-3.5928547382354736,6.9278339264470565,True,0.522587251663208,2.8874178502243013,True,-5.0,0.0,False,3.3068899385465884,3.032897342558627e-05,False,-1.740331768989563,5.621342861652286,True,0.6050114154815673,3.3742263699881723,True,-3.0,0.1599156698114754,False,0.12570154697924757,0.15178169042586537,False
S12,2,None,0.001228640554472804,0.013597641640284564,1.0,0.001883476972579956,0.019983495636028234,1.0,0.010028668390923933,0.0005545244412497992,0.0,0.008198779376341551,0.001989262510787802,0.165,0.0016450116698176614,0.001129065900005728,0.19,0.00371412908979963,0.001181203866525548,0.135,-2.593968391418457,8.669580081234892,True,0.5781942725181579,3.0058942269533864,True,-5.0,0.0,False,1.8971555606042763,3.0120170595893114e-05,False,-1.5723103284835815,7.39448052061662,True,0.5644384741783142,3.3088533865520726,True,-3.0,0.09524271666078446,False,0.3365538913983444,0.01137736709600512,False
